epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.3803,1.24637,6.26493,1.51011,0.16144,0.53375,0.18793,0.12372,1.30007,2.67632,1.63279,0.000366554,0.000366554,0.000366554
2,51.5366,1.33739,2.63838,1.57334,0.13936,0.51595,0.17031,0.08833,1.4404,5.26238,1.75315,0.000729593,0.000729593,0.000729593
3,65.4989,1.34597,2.17744,1.58128,0.15418,0.59846,0.23975,0.15036,1.31942,2.06582,1.71639,0.0010853,0.0010853,0.0010853
4,79.3444,1.33482,1.99373,1.51244,0.14056,0.68807,0.22681,0.14456,1.22664,3.13242,1.58601,0.001078,0.001078,0.001078
5,93.1292,1.29752,1.91285,1.48706,0.43457,0.4446,0.2463,0.16931,1.18343,2.27646,1.5083,0.001067,0.001067,0.001067
6,106.949,1.30696,1.88589,1.45892,0.15056,0.65234,0.267,0.17612,1.10528,1.93603,1.4323,0.00105601,0.00105601,0.00105601
7,120.662,1.23351,1.8249,1.45496,0.17116,0.6142,0.26128,0.16608,1.14407,1.98366,1.42908,0.00104501,0.00104501,0.00104501
8,134.287,1.25215,1.79521,1.47356,0.15622,0.66808,0.25361,0.16472,1.1282,1.92456,1.43483,0.00103401,0.00103401,0.00103401
9,148.006,1.16919,1.73925,1.40957,0.19593,0.80943,0.25254,0.16817,1.12323,1.82899,1.39168,0.00102301,0.00102301,0.00102301
10,161.712,1.19453,1.73768,1.4134,0.16725,0.687,0.27092,0.17838,1.03931,1.72463,1.38272,0.00101201,0.00101201,0.00101201
11,175.603,1.1702,1.74858,1.38393,0.17569,0.71329,0.23208,0.16664,1.0832,1.76364,1.36983,0.00100101,0.00100101,0.00100101
12,189.421,1.16633,1.74622,1.39764,0.19946,0.84653,0.25217,0.17072,1.06667,1.70721,1.38428,0.000990012,0.000990012,0.000990012
13,203.267,1.13698,1.66587,1.37962,0.20788,0.82006,0.28572,0.20436,0.98657,1.6976,1.31386,0.000979013,0.000979013,0.000979013
14,217.243,1.11311,1.67814,1.35092,0.21979,0.76249,0.26182,0.18598,1.11545,1.77438,1.39306,0.000968014,0.000968014,0.000968014
