epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.3927,1.18017,6.17949,1.45204,0.19513,0.27942,0.23157,0.16139,1.02668,4.9167,1.41233,0.000366554,0.000366554,0.000366554
2,44.3899,1.20579,5.22364,1.45542,0.23694,0.66857,0.24332,0.1549,1.15519,3.91343,1.50052,0.000729593,0.000729593,0.000729593
3,55.0804,1.22573,4.49945,1.4439,0.18913,0.62419,0.24182,0.15962,1.11578,2.6814,1.43813,0.0010853,0.0010853,0.0010853
4,65.4765,1.18452,3.78928,1.38074,0.59346,0.12208,0.09018,0.05069,1.49328,5.52182,1.86322,0.001078,0.001078,0.001078
5,75.7404,1.18762,3.32832,1.37657,0.4378,0.57795,0.26698,0.19126,1.0761,1.95714,1.39582,0.001067,0.001067,0.001067
6,85.9396,1.2057,2.90477,1.37176,0.20687,0.72521,0.28338,0.18625,1.07025,2.00067,1.36726,0.00105601,0.00105601,0.00105601
7,96.1697,1.15062,2.57118,1.37399,0.21419,0.71005,0.28121,0.17984,1.07763,1.8554,1.39593,0.00104501,0.00104501,0.00104501
8,106.472,1.17293,2.36508,1.38234,0.20627,0.78907,0.29374,0.20182,0.98748,1.86975,1.31309,0.00103401,0.00103401,0.00103401
9,116.737,1.13815,2.18326,1.35817,0.2084,0.79255,0.29146,0.18555,1.08458,1.87859,1.36286,0.00102301,0.00102301,0.00102301
10,127.027,1.13293,2.07965,1.34027,0.22467,0.84735,0.28189,0.19577,0.99622,1.7328,1.2945,0.00101201,0.00101201,0.00101201
11,137.438,1.13117,2.00539,1.34133,0.18855,0.76884,0.27386,0.18246,1.05624,1.82943,1.34105,0.00100101,0.00100101,0.00100101
12,147.82,1.11503,1.98759,1.34112,0.23143,0.88407,0.32146,0.22196,0.93597,1.65135,1.24604,0.000990012,0.000990012,0.000990012
13,158.349,1.07395,1.85717,1.30825,0.22233,0.87955,0.31851,0.21713,0.95322,1.66915,1.26398,0.000979013,0.000979013,0.000979013
14,168.62,1.05962,1.81049,1.30604,0.23406,0.86095,0.31965,0.22772,0.97602,1.69934,1.26524,0.000968014,0.000968014,0.000968014
15,179.041,1.06131,1.78466,1.28333,0.2235,0.85725,0.30528,0.20951,0.98529,1.73884,1.27257,0.000957015,0.000957015,0.000957015
16,189.414,1.01621,1.72329,1.28353,0.2077,0.85055,0.27618,0.19536,0.96581,1.72233,1.25726,0.000946016,0.000946016,0.000946016
17,199.759,1.03027,1.68497,1.2529,0.20071,0.79058,0.29874,0.21244,0.95569,1.6847,1.26005,0.000935018,0.000935018,0.000935018
18,210.224,0.99944,1.69096,1.24547,0.22884,0.84374,0.27658,0.19393,0.97126,1.66828,1.26622,0.000924019,0.000924019,0.000924019
19,220.593,1.03799,1.68958,1.27966,0.21899,0.89498,0.29474,0.20615,0.98409,1.6959,1.26615,0.00091302,0.00091302,0.00091302
20,230.906,1.02928,1.67402,1.25561,0.22089,0.86957,0.3028,0.22226,0.93949,1.60356,1.23868,0.000902021,0.000902021,0.000902021
21,241.2,1.03088,1.638,1.26891,0.22142,0.8614,0.29466,0.19984,0.9651,1.69525,1.25763,0.000891022,0.000891022,0.000891022
22,251.493,1.04098,1.61944,1.28201,0.24164,0.93816,0.30464,0.21655,0.95098,1.63233,1.23602,0.000880023,0.000880023,0.000880023
23,261.859,1.01303,1.61071,1.27035,0.23003,0.84325,0.30566,0.21189,0.91546,1.68256,1.23402,0.000869024,0.000869024,0.000869024
24,272.263,0.9682,1.58151,1.2451,0.24314,0.8958,0.31415,0.22617,0.9366,1.6693,1.23217,0.000858025,0.000858025,0.000858025
25,282.479,0.99844,1.6467,1.26823,0.24189,0.93946,0.29054,0.20635,0.94396,1.58404,1.24683,0.000847026,0.000847026,0.000847026
26,292.827,1.02584,1.5993,1.28821,0.22848,0.93646,0.27506,0.19543,0.93718,1.68346,1.23767,0.000836027,0.000836027,0.000836027
27,303.1,0.98877,1.57308,1.25106,0.23581,0.92673,0.30946,0.22401,0.94158,1.61269,1.23971,0.000825029,0.000825029,0.000825029
28,313.496,1.02146,1.60014,1.28003,0.22336,0.86829,0.28907,0.21638,0.86938,1.61537,1.20167,0.00081403,0.00081403,0.00081403
29,323.93,0.99028,1.55774,1.24624,0.31115,0.76216,0.30071,0.21749,0.90463,1.64495,1.22136,0.000803031,0.000803031,0.000803031
30,334.143,1.01183,1.58781,1.26398,0.22767,0.87753,0.30347,0.22609,0.86623,1.58772,1.18514,0.000792032,0.000792032,0.000792032
31,344.359,0.95293,1.54049,1.22498,0.22748,0.94195,0.29397,0.21702,0.88383,1.5857,1.20649,0.000781033,0.000781033,0.000781033
32,354.585,0.9548,1.52633,1.21646,0.2299,0.86037,0.319,0.23732,0.88917,1.5274,1.20395,0.000770034,0.000770034,0.000770034
33,364.851,0.958,1.5351,1.2501,0.23095,0.90366,0.29533,0.21441,0.92177,1.57773,1.21652,0.000759035,0.000759035,0.000759035
34,375.206,1.02018,1.57002,1.27179,0.23197,0.87753,0.3169,0.21889,0.95007,1.62142,1.24846,0.000748036,0.000748036,0.000748036
35,385.386,0.9708,1.56653,1.25277,0.23968,0.91701,0.32922,0.22914,0.92633,1.57427,1.23403,0.000737037,0.000737037,0.000737037
36,395.486,0.95945,1.54346,1.21138,0.23276,0.91909,0.29696,0.21575,0.87073,1.55754,1.19311,0.000726038,0.000726038,0.000726038
37,405.548,0.95334,1.50425,1.228,0.21423,0.93646,0.2988,0.21787,0.88121,1.59688,1.20635,0.00071504,0.00071504,0.00071504
38,415.761,0.95198,1.51683,1.22441,0.22654,0.93131,0.3109,0.222,0.86074,1.5924,1.19394,0.000704041,0.000704041,0.000704041
39,426.129,0.9059,1.49147,1.19964,0.22438,0.86156,0.27385,0.19881,0.87575,1.61773,1.19394,0.000693042,0.000693042,0.000693042
40,436.356,0.93427,1.50415,1.21902,0.23281,0.85036,0.29496,0.2178,0.84082,1.5368,1.17039,0.000682043,0.000682043,0.000682043
41,446.692,0.90227,1.4799,1.19777,0.22234,0.91489,0.28388,0.20174,0.865,1.61496,1.18968,0.000671044,0.000671044,0.000671044
42,457.064,0.93251,1.52094,1.21956,0.21347,0.88342,0.26854,0.20354,0.84209,1.57317,1.17781,0.000660045,0.000660045,0.000660045
43,467.377,0.90579,1.47487,1.19273,0.23635,0.89756,0.27606,0.20081,0.92425,1.53896,1.22011,0.000649046,0.000649046,0.000649046
44,477.852,0.95208,1.46643,1.20824,0.23488,0.88632,0.33962,0.23924,0.88421,1.58497,1.19603,0.000638047,0.000638047,0.000638047
45,488.139,0.91122,1.48996,1.2102,0.23898,0.90238,0.32735,0.23433,0.87016,1.49616,1.19424,0.000627048,0.000627048,0.000627048
46,498.418,0.88264,1.46249,1.17953,0.24544,0.95423,0.30257,0.216,0.89643,1.55005,1.20333,0.000616049,0.000616049,0.000616049
47,508.722,0.89434,1.43675,1.18338,0.23546,0.93642,0.31746,0.21686,0.88218,1.55099,1.21108,0.000605051,0.000605051,0.000605051
48,518.95,0.90576,1.44559,1.21027,0.22072,0.91701,0.32399,0.22076,0.87025,1.57872,1.19107,0.000594052,0.000594052,0.000594052
49,529.296,0.90662,1.45848,1.19262,0.24183,0.89012,0.3301,0.23401,0.84174,1.49616,1.1772,0.000583053,0.000583053,0.000583053
50,539.488,0.93183,1.45666,1.21539,0.24342,0.90263,0.31479,0.22163,0.86215,1.55495,1.17944,0.000572054,0.000572054,0.000572054
51,549.857,0.84377,1.42757,1.1744,0.24604,0.90658,0.34814,0.24245,0.87086,1.52322,1.18318,0.000561055,0.000561055,0.000561055
52,560.207,0.91344,1.44212,1.19741,0.2254,0.92477,0.29546,0.20793,0.85648,1.64655,1.1833,0.000550056,0.000550056,0.000550056
53,570.548,0.87304,1.45321,1.17826,0.24604,0.90645,0.3238,0.22145,0.81666,1.48431,1.14831,0.000539057,0.000539057,0.000539057
54,581.04,0.90117,1.44785,1.17756,0.23739,0.93989,0.35485,0.24346,0.84733,1.5392,1.16463,0.000528058,0.000528058,0.000528058
55,591.418,0.87259,1.43275,1.18559,0.237,0.91586,0.34459,0.23694,0.87402,1.53225,1.19203,0.000517059,0.000517059,0.000517059
56,601.599,0.85141,1.42673,1.14694,0.24314,0.84145,0.35204,0.24416,0.84606,1.52855,1.17125,0.00050606,0.00050606,0.00050606
57,611.942,0.88143,1.43371,1.19767,0.24514,0.89056,0.32696,0.22788,0.86435,1.52852,1.19444,0.000495062,0.000495062,0.000495062
58,622.253,0.85571,1.41357,1.17554,0.24691,0.8894,0.33981,0.23031,0.86655,1.53745,1.18228,0.000484063,0.000484063,0.000484063
59,632.627,0.85729,1.41087,1.16914,0.2411,0.9534,0.32726,0.22513,0.85567,1.554,1.17383,0.000473064,0.000473064,0.000473064
60,642.877,0.87232,1.4057,1.17792,0.24172,0.94946,0.34465,0.24138,0.84666,1.55921,1.17743,0.000462065,0.000462065,0.000462065
61,653.194,0.82868,1.40436,1.159,0.24537,0.90152,0.29693,0.2122,0.83633,1.56786,1.16838,0.000451066,0.000451066,0.000451066
62,663.56,0.85175,1.40455,1.16366,0.239,0.8525,0.31414,0.21838,0.83366,1.52612,1.16232,0.000440067,0.000440067,0.000440067
63,673.952,0.86446,1.41482,1.16677,0.24748,0.92364,0.33919,0.242,0.84935,1.52651,1.17078,0.000429068,0.000429068,0.000429068
64,684.417,0.82927,1.41333,1.16611,0.24131,0.93213,0.31557,0.22106,0.84425,1.4927,1.17084,0.000418069,0.000418069,0.000418069
65,694.687,0.83841,1.41606,1.16795,0.24532,0.93636,0.3252,0.22931,0.81929,1.54275,1.15429,0.00040707,0.00040707,0.00040707
66,704.873,0.81614,1.37707,1.15507,0.24559,0.84908,0.32524,0.22781,0.84133,1.55286,1.18497,0.000396071,0.000396071,0.000396071
67,715.188,0.82344,1.38048,1.15113,0.24306,0.89318,0.33003,0.22868,0.83768,1.51979,1.16982,0.000385073,0.000385073,0.000385073
68,725.514,0.86477,1.41707,1.19059,0.23969,0.89499,0.32302,0.22307,0.83962,1.52317,1.16403,0.000374074,0.000374074,0.000374074
69,735.963,0.81878,1.37796,1.14155,0.2434,0.90909,0.30759,0.21498,0.85409,1.50656,1.16899,0.000363075,0.000363075,0.000363075
70,746.29,0.83871,1.41357,1.17216,0.23965,0.907,0.32546,0.22142,0.82881,1.52916,1.16512,0.000352076,0.000352076,0.000352076
71,756.605,0.8002,1.35864,1.13922,0.24211,0.88679,0.33375,0.22789,0.82381,1.4966,1.16025,0.000341077,0.000341077,0.000341077
72,766.918,0.81427,1.41941,1.15315,0.24306,0.90692,0.34145,0.23305,0.82975,1.49669,1.15896,0.000330078,0.000330078,0.000330078
73,777.156,0.83071,1.37823,1.16145,0.24707,0.89952,0.33711,0.23221,0.84663,1.49266,1.17445,0.000319079,0.000319079,0.000319079
74,787.419,0.79797,1.37252,1.13706,0.25012,0.94647,0.33837,0.23746,0.82473,1.53667,1.15874,0.00030808,0.00030808,0.00030808
75,797.885,0.81184,1.36878,1.14904,0.24683,0.90925,0.35594,0.2476,0.83747,1.50881,1.1648,0.000297081,0.000297081,0.000297081
